,property_type,society,sector,price,persf_area,area,areaWithType,bedroom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
2767,flat,ansal housing highland park,sector 103,2.0,7490.0,2670.23,Super Built up area 2670(248.05 sq.m.),4.0,5.0,3+,14.0,,New Property,2670.0,,,0.0,1.0,0.0,0.0,0.0,0.0,45.0,667.5575
2768,flat,dlf express greens,manesar,1.5,6358.0,2359.23,Super Built up area 2359(219.16 sq.m.),4.0,5.0,3+,10.0,East,New Property,2359.0,,,0.0,1.0,0.0,0.0,0.0,0.0,32.0,589.8075
2769,flat,pareena mi casa,sector 68,1.9,9227.0,2059.17,Carpet area: 2059 (191.29 sq.m.),3.0,3.0,3+,1.0,,Under Construction,,,2059.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,686.39
2770,flat,ramsons kshitij,sector 95,0.22,6470.0,340.03,Super Built up area 340(31.59 sq.m.),1.0,1.0,1,2.0,,New Property,340.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.03
2771,flat,ansals duplex flat,sector 2,0.95,7307.0,1300.12,Carpet area: 1300 (120.77 sq.m.),2.0,3.0,2,1.0,North-East,Old Property,,,1300.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,650.06
2772,flat,green court,sector 90,0.4,6389.0,626.08,Super Built up area 626(58.16 sq.m.)Carpet area: 526 sq.ft. (48.87 sq.m.),2.0,2.0,1,8.0,South,New Property,626.0,,526.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,313.04
2773,flat,hcbs sports ville,sohna road,0.32,6165.0,519.06,Carpet area: 519 (48.22 sq.m.),2.0,2.0,2,2.0,,New Property,,,519.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,259.53
2774,flat,smriti apartment,sector 56,0.45,7500.0,600.0,Super Built up area 600(55.74 sq.m.),1.0,1.0,2,3.0,,Old Property,600.0,,,0.0,0.0,0.0,0.0,0.0,0.0,57.0,600.0
2775,flat,pareena mi casa,sector 68,1.85,9310.0,1987.11,Super Built up area 1987(184.6 sq.m.),3.0,3.0,3+,13.0,,Under Construction,1987.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,662.37
2776,flat,sidhartha ncr greens,sector 95,0.96,6201.0,1548.14,Carpet area: 1548 (143.81 sq.m.),3.0,3.0,3,8.0,,New Property,,,1548.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,516.0466666666667
2777,flat,supertech araville,sector 79,0.8,6178.0,1294.92,Super Built up area 1295(120.31 sq.m.),2.0,2.0,3+,9.0,,New Property,1295.0,,,0.0,0.0,0.0,0.0,1.0,0.0,24.0,647.46
2778,flat,godrej summit,sector 104,1.2,8298.0,1446.13,Carpet area: 1446 (134.34 sq.m.),3.0,2.0,3+,16.0,,Relatively New,,,1446.0,1.0,0.0,0.0,1.0,0.0,1.0,142.0,482.04333333333335
2779,flat,sare crescent parc,sector 92,0.5,5000.0,1000.0,Super Built up area 1000(92.9 sq.m.),2.0,2.0,2,2.0,,Relatively New,1000.0,,,0.0,0.0,0.0,0.0,1.0,0.0,72.0,500.0
2780,flat,sare crescent parc,sector 92,0.92,4854.0,1895.34,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,5.0,3+,14.0,North-East,Moderately Old,,1895.0,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,131.0,473.835
2781,flat,green court,sector 90,0.5,8333.0,600.02,Super Built up area 700(65.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2.0,2.0,1,8.0,,New Property,700.0,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,300.01
2782,flat,supertech araville,sector 79,0.78,6023.0,1295.04,Super Built up area 1295(120.31 sq.m.),2.0,2.0,3+,17.0,,Relatively New,1295.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,647.52
2783,flat,signature global synera,sector 81,0.5,7886.0,634.03,Carpet area: 634 (58.9 sq.m.),2.0,2.0,1,11.0,East,New Property,,,634.0,0.0,0.0,0.0,0.0,0.0,2.0,97.0,317.015
2784,flat,godrej summit,sector 104,1.3,9027.0,1440.12,Super Built up area 1440(133.78 sq.m.),3.0,2.0,3+,16.0,,Relatively New,1440.0,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,480.03999999999996
2785,flat,prime habitat,sector 99a,0.27,5432.0,497.05,Carpet area: 497 (46.17 sq.m.),2.0,2.0,1,4.0,North-East,New Property,,,497.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,248.525
2786,flat,sare homes,sector 92,0.85,4786.0,1776.01,Super Built up area 1776(165 sq.m.),4.0,4.0,3,3.0,,Moderately Old,1776.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0025
2787,flat,bestech park view ananda,sector 81,0.9,6618.0,1359.93,Super Built up area 1360(126.35 sq.m.),2.0,2.0,3,8.0,,New Property,1360.0,,,0.0,0.0,0.0,0.0,1.0,0.0,60.0,679.965
2788,flat,millenia,sector 37c,0.4,6666.0,600.06,Carpet area: 600 (55.74 sq.m.),2.0,2.0,2,4.0,East,New Property,,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,300.03
2789,flat,sidhartha ncr one phase,sector 95,0.9,4500.0,2000.0,Built Up area: 2000 (185.81 sq.m.),3.0,3.0,1,15.0,,Relatively New,,2000.0,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,666.6666666666666
2790,flat,signature andour heights,sector 71,0.39,9846.0,396.1,Super Built up area 325(30.19 sq.m.),1.0,1.0,2,1.0,,New Property,325.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.1
2791,flat,sanskriti apartments,sector 43,2.5,13513.0,1850.07,Super Built up area 1850(171.87 sq.m.),3.0,2.0,3,5.0,East,Old Property,1850.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,616.6899999999999
2792,flat,sare crescent parc,sector 92,0.8,4210.0,1900.24,Super Built up area 1900(176.52 sq.m.),4.0,3.0,2,10.0,East,Relatively New,1900.0,,,0.0,0.0,0.0,0.0,1.0,0.0,37.0,475.06
2793,flat,m3m skywalk,sector 74,1.5,10714.0,1400.04,Carpet area: 1400 (130.06 sq.m.),2.0,2.0,1,8.0,,New Property,,,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,700.02
2794,flat,sare homes,sector 92,0.82,5384.0,1523.03,Super Built up area 1523(141.49 sq.m.)Built Up area: 1221.18 sq.ft. (113.45 sq.m.),3.0,3.0,3+,12.0,West,Relatively New,1523.0,1221.18,,0.0,0.0,0.0,0.0,0.0,0.0,114.0,507.6766666666667
2795,flat,puri emerald bay,sector 104,1.8,8823.0,2040.12,Super Built up area 1700(157.94 sq.m.),2.0,3.0,3,23.0,,New Property,1700.0,,,0.0,1.0,0.0,0.0,0.0,0.0,36.0,1020.06
2796,flat,laxmi apartment sector 99a gurgaon,sector 99a,0.3,4615.0,650.05,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,1,4.0,,New Property,650.0,,550.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,325.025
2797,flat,godrej aria,sector 79,1.95,8519.0,2289.0,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3.0,4.0,3+,10.0,,New Property,2289.0,,1121.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,763.0
2798,flat,ansal estella,sector 103,1.5,8670.0,1730.1,Super Built up area 1730(160.72 sq.m.)Carpet area: 1725 sq.ft. (160.26 sq.m.),3.0,3.0,3+,6.0,,Under Construction,1730.0,,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,576.6999999999999
2799,flat,chanderlok society,sector 28,0.9,7234.0,1244.12,Carpet area: 1244 (115.57 sq.m.),4.0,2.0,3+,1.0,,Old Property,,,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.03
2800,flat,jammu and kashmir bank employees cghs,sector 9a,0.95,6129.0,1550.01,Super Built up area 1550(144 sq.m.),3.0,3.0,2,5.0,West,Moderately Old,1550.0,,,0.0,0.0,0.0,0.0,1.0,0.0,30.0,516.67
2801,flat,ild greens,sector 37c,1.0,4723.0,2117.3,Super Built up area 1800(167.23 sq.m.),3.0,3.0,3,3.0,,Under Construction,1800.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,705.7666666666668
2802,flat,ss residency,sector 12,0.53,4818.0,1100.04,Super Built up area 1100(102.19 sq.m.),3.0,3.0,2,2.0,,Relatively New,1100.0,,,0.0,0.0,0.0,0.0,0.0,1.0,14.0,366.68
2803,flat,uphar lakshya homes,sector 105,0.42,4200.0,1000.0,Carpet area: 1000 (92.9 sq.m.),3.0,2.0,1,1.0,East,Relatively New,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,333.3333333333333
